2018-08-24 08:44:11.568 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-24 08:44:11.588 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@35fc6dc4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7fe8ea47, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@226a82c4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@731f8236, org.springframework.test.context.transaction.TransactionalTestExecutionListener@255b53dc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1dd92fe2]
2018-08-24 08:44:11.657 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader -Loading XML bean definitions from class path resource [spring-application.xml]
2018-08-24 08:44:12.150 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2018-08-24 08:44:12.201 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader -Loading XML bean definitions from class path resource [shiro.xml]
2018-08-24 08:44:12.228 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader -Loading XML bean definitions from class path resource [spring-redis.xml]
2018-08-24 08:44:12.246 [main] INFO  o.s.context.support.GenericApplicationContext -Refreshing org.springframework.context.support.GenericApplicationContext@6b419da: startup date [Fri Aug 24 08:44:12 CST 2018]; root of context hierarchy
2018-08-24 08:44:12.548 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-08-24 08:44:13.428 [main] INFO  com.alibaba.druid.pool.DruidDataSource -{dataSource-1} inited
2018-08-24 08:44:13.429 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-24 08:44:13.475 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#0' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-24 08:44:13.627 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'hibernateJpaVendorAdapter' of type [org.springframework.orm.jpa.vendor.HibernateJpaVendorAdapter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-24 08:44:13.661 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean -Building JPA container EntityManagerFactory for persistence unit 'default'
2018-08-24 08:44:15.003 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-08-24 08:44:15.005 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'entityManagerFactory' of type [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
